,Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,column10,Company/Brand,What it does,Amount($),Company Name,Industry,Round/Series,Location,About Company
55,,,,,,,,"₹15,000,000",,,,,,Arogya MedTech,"Health Care, Medical",Seed,"Kolkata, West Bengal, India",Arogya MedTech is a Research & Development organization in Bio-Medical industry.
56,,,,,,,,500000,,,,,,Propshop24,E-Commerce,Seed,"Mumbai, Maharashtra, India","Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world."
57,,,,,,,,5000000,,,,,,myUpchar,"Health Care, Hospital, Wellness",Series A,"New Delhi, Delhi, India",To bring health issues to people in their language.
58,,,,,,,,"₹104,000,000",,,,,,MissMalini Entertainment,—,Seed,"Mumbai, Maharashtra, India","MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians."
59,,,,,,,,"₹45,000,000",,,,,,Rooter,Sports,Seed,"India, Asia",Rooter is a mobile-based platform
60,,,,,,,,13400000,,,,,,ZestMoney,"Big Data, Consumer Lending, FinTech",Series A,"Bangalore, Karnataka, India",Zest is India's first completely automated consumer digital lending platform.
61,,,,,,,,—,,,,,,alphaics Corporation,"Cloud Computing, Computer, Semiconductor",Seed,"Bengaluru, Karnataka, India",Advancing AI compute
62,,,,,,,,500000,,,,,,MyDentistChoice,"Health Care, Medical, Pharmaceutical",Seed,"Hyderabad, Andhra Pradesh, India",MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers
63,,,,,,,,—,,,,,,Sattviko,"Food Processing, Retail",Angel,"New Delhi, Delhi, India",Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!
64,,,,,,,,"₹25,000,000",,,,,,Sensibull,Trading Platform,Seed,"Bangalore, Karnataka, India",Investment Management Platform
65,,,,,,,,—,,,,,,Bombay Shaving Company,"Consumer Goods, Lifestyle, Men's",Series A,"New Delhi, Delhi, India",Bombay Shaving Company is a Men's grooming startup
66,,,,,,,,"₹26,400,000",,,,,,MedCords,Wellness,Seed,"Pune, Maharashtra, India",Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier
67,,,,,,,,—,,,,,,University Living,Education,Seed,"New Delhi, Delhi, India",University Living is an online global student housing marketplace.
68,,,,,,,,—,,,,,,&ME,"Food and Beverage, Food Processing, Nutrition",Seed,"Bangalore, Karnataka, India",Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.
69,,,,,,,,"₹8,000,000",,,,,,Enakshi,Fashion,Seed,"Ahmedabad, Gujarat, India",Enakshi is an online apparel brand for women.
70,,,,,,,,"₹60,000",,,,,,Ultraviolette Automotive,"Automotive, Electric Vehicle, Energy Storage",Series A,"Bangalore, Karnataka, India",Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.
71,,,,,,,,4000000,,,,,,Inthree Access,"Consulting, Retail, Social",Series A,"Chennai, Tamil Nadu, India",Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.
72,,,,,,,,9000000,,,,,,BUGWORKS Research India,"Biotechnology, Life Science, Pharmaceutical, Product Research",Series A,"Bangalore, Karnataka, India",BUGWORKS is a drug discovery company.
73,,,,,,,,—,,,,,,Guardian.in,Health Care,Seed,"Mumbai, Maharashtra, India",GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company
74,,,,,,,,100000,,,,,,PrestLoans,"Credit, Financial Services, FinTech, Personal Finance",Seed,"New Delhi, Delhi, India","PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans."
75,,,,,,,,20000,,,,,,Wimoxez,Internet,Seed,"Hyderabad, Andhra Pradesh, India","Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow."
76,,,,,,,,—,,,,,,India Accelerator,"Communities, Coworking, Incubators",Angel,"Gurgaon, Haryana, India",India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.
77,,,,,,,,1000000,,,,,,HappyEMI,"Consumer, Financial Services, FinTech",Seed,"Bangalore, Karnataka, India",HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online
78,,,,,,,,—,,,,,,Wishup,"Consumer Applications, Information Services, Location Based Services, Virtual Assistant",Seed,"Azadpur, Delhi, India",Premium Personal Assistance service
79,,,,,,,,4000000,,,,,,Hansel.io,"Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps",Series A,"Bangalore, Karnataka, India","Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences."
80,,,,,,,,250000,,,,,,Propelld,"Education, Financial Services, FinTech",Seed,"Bengaluru, Karnataka, India",Propelld is a student education financing platform.
81,,,,,,,,—,,,,,,PivotRoots,"Advertising, Consulting, Digital Marketing",Series A,"Mumbai, Maharashtra, India",Digital Marketing powered by Data & Technology; fueled by Design thinking
82,,,,,,,,120000,,,,,,ZiffyHomes,"Marketplace, Real Estate, Rental Property",Seed,"New Delhi, Delhi, India",ZiffyHomes is a technology driven marketplace to find out home on rent.
83,,,,,,,,"₹34,000,000",,,,,,Carmesi,Health Care,Seed,"Gurgaon, Haryana, India",Carmesi is a brand of high-end menstrual-hygiene products in India.
84,,,,,,,,—,,,,,,OckyPocky,"E-Learning, Internet, Video Games",Angel,"Haryana, Haryana, India",OckyPocky is a interactive and personalised language learning app for preschool kids.
85,,,,,,,,"₹342,000,000",,,,,,Racetrack,"Artificial Intelligence, Cloud Computing, Video",Seed,"Bangalore, Karnataka, India","Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors."
86,,,,,,,,"$143,145",,,,,,WHR,"Health Care, Information Technology",Seed,"Pune, Maharashtra, India","WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible."
87,,,,,,,,—,,,,,,Asteria Aerospace,Aerospace,Seed,"Bangalore, Karnataka, India",Asteria Aerospace is a robotics and artificial intelligence company.
88,,,,,,,,"₹600,000,000",,,,,,FabAlley,"E-Commerce, Fashion, Lifestyle",Series B,"Noida, Uttar Pradesh, India","FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar"
89,,,,,,,,—,,,,,,Tranzmeo,"Artificial Intelligence, Business Intelligence, Industrial Automation, Machine Learning",Pre-Seed,"Cochin, Kerala, India",Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.
