,Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,column10,Company/Brand,What it does,Amount($),Company Name,Industry,Round/Series,Location,About Company
362,Maya,2016.0,Bangalore,HealthTech,Maya enables women to keep track of their health via a mobile application.,John Paul,Rajan Anadan,"$2,200,000",Seed,,,,,,,,,
364,MediBuddy,2000.0,Bangalore,HealthTech,MediBuddy is a Trusted Digital Platform for Cashless Healthcare. MediBuddy connects patients with doctors and hospitals.,"atish Kannan, Enbasekar","IDFC Private Equity, Bessemer Venture Partners","$40,000,000",Series B,,,,,,,,,
365,Zetwerk,2018.0,Bangalore,E-commerce,Zetwerk is an online marketplace that connects buyers and suppliers for manufacturing jobs.,"Amrit Acharya, Rahul Sharma, Srinath Ramakkrushnan, Vishal Chaudhary","Sequoia Capital India, Accel","$120,000,000",Series D,,,,,,,,,
369,YourPhysio,2020.0,Nagpur,HealthTech,YourPhysio is a healthcare company on a mission to deliver 10x better patient experience in the domain of physiotherapy.,"Dr Sheetal Mundhada, Ashutosh Mundhada","Better Capital, Titan Capital","$350,000",Pre-seed,,,,,,,,,
370,Aviom Housing Finance,2016.0,New Delhi,FinTech,AVIOM India is an Affordable Housing Finance company facilitating families in mostly semi urban areas in realising their dream of owning their first home.,Kajal Ilmi,Gojo & Company,"$1,000,000",Debt,,,,,,,,,
371,Hemp Horizons,2017.0,Noida,Cannabis startup,Cannabis and Hemp company,Rohit Shah,Mumbai Angels,"$200,000",Seed,,,,,,,,,
373,Koo,2020.0,Bangalore,Blogging,Koo App operates as a microblogging app.,"Mayank Bidawatka, Aprameya Radhakrishna","3one4 Capital, Accel","$4,100,000",Series A,,,,,,,,,
374,InnerHour,2016.0,Mumbai,Healthcare,InnerHour is mental health and wellness platform that provides therapy and diagnostics services and conducts online mental health workshops.,Amit Malik,"Hitesh Oberoi, Lightbox","$5,200,000",Series A,,,,,,,,,
375,Origo,2010.0,Gurugram,AgriTech,"Origo Commodities, a complete post-harvest management financial solution for agricultural commodities.","Sunoor Kaul, Mayank Dhanuka",YES Bank,"$10,000,000",Debt,,,,,,,,,
376,ExMyB,2018.0,Gurugram,Consulting,ExMyB provides financial service and consulting services.,Nishant Behl,Campus Fund,Undisclosed,Seed,,,,,,,,,
377,Elucidata,2015.0,New Delhi,BioTechnology,Elucidata Corporation uses data analytics to transform decision-making processes in R&D labs in biotechnology and pharmaceutical companies.,"Abhishek Jha, Richard Kibbey, Swetabh Pathak",Hyperplane Venture Capital,"$5,000,000",Pre-series A,,,,,,,,,
378,Saveo,2019.0,Bangalore,HealthTech,Saveo operates a business-to-business e-commerce platform focused on pharmacies.,"Amit Kumar, Anurag Savarnya, Shivansh Shrivastava, Vivek Jaiswal","Matrix Partners India, RTP Global","$4,000,000",Seed,,,,,,,,,
379,Qin1,2019.0,Noida,EdTech,Re-imagining Kids of 21st Century!,Ishan Gupta,Venture Catalysts,Undisclosed,Pre-series A,,,,,,,,,
380,DotPe,2019.0,Gurugram,FinTech,"DotPe is an innovative offline technology platform digitising merchant's customer engagement with mobile discovery, ordering and payments.","Anurag Gupta, Gyanesh Sharma, Shailaz Nag","Info Edge, Ruizheng Investment","$8,000,000",Seed,,,,,,,,,
383,KIKO TV,2020.0,Mumbai,E-commerce,KIKO TV is an AI-based short live video e-commerce platform.,Shivam Varshney,"Sunil Kumar Singhvi, 9Unicorns Accelerator Fund",Undisclosed,Pre-series A,,,,,,,,,
384,Quali55Care,2018.0,Mumbai,Health care,Deliver highly durable & affordable medical equipments on rental and sale.,Harddik K Patel,India Accelerator’s Angel Investor Network,Undisclosed,Seed,,,,,,,,,
387,SeeVC,2020.0,New Delhi,Tech Startup,Leverages artificial intelligence (AI) to build products for the education sector,"Shivam Sood, Lark Aakarshan",Jimmy Singh,"$1,000,000",Seed,,,,,,,,,
389,VenWiz,2020.0,Bangalore,B2B service,Digitising the interactions between core industry and vendors for engineering services,"Rajesh Reddy, Sandesh Paturi","Accel, Nexus Venture","$300,000",Seed,,,,,,,,,
392,Headfone,2017.0,Bangalore,Social audio,Headfone helps create and share the audio content with listeners.,"Pratham Khandelwal, Yogesh Sharma",Hashed,"$3,000,000",Seed,,,,,,,,,
393,Zouk,2016.0,Mumbai,Fashion and lifestyle,100% Vegan bags from India.,Disha Singh,Titan Capital,Undisclosed,Seed,,,,,,,,,
395,GrowFix,2020.0,Bangalore,FinTech,Building high-yield Debt assets for retail investors,"Ajinkya Kulkarni, Abhik Patel","Zerodha's Rainmatter Capital, Better Capital","$2,000,000",Seed,,,,,,,,,
397,Dunzo,2015.0,Bangalore,Delivery service,Dunzo is a hyper-local delivery app that connects users to the nearest delivery partner.,"Ankur Aggarwal, Dalvir Suri, Kabeer Biswas, Mukund Jha","Lightbox, Evolvence India Fund","$40,000,000",Series E,,,,,,,,,
398,BeyondSkool,2020.0,Mumbai,EdTech,BeyondSkool is a live upskilling platform for kids,Payal Gaba,Tomorrow Capital,"$2,000,000",Seed,,,,,,,,,
399,Mindler,2015.0,New Delhi,EdTech,Mindler is a career counseling company that provides career development guidance counseling services for students.,Prateek Bhargava,"Inflection Point Ventures, DLabs","$1,000,000",Pre-series A,,,,,,,,,
400,Fashinza,2020.0,Gurgaon,B2B Manufacturing,Fashinza is a B2B manufacturing marketplace that solves apparel/fashion supply chain challenges.,"Abhishek Sharma, Pawan Gupta","Accel Partners, Elevation Capital","$2,600,000",Seed,,,,,,,,,
401,BharatPe,2018.0,New Delhi,FinTech,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"Ashneer Grover, Shashvat Nakrani","InnoVen Capital, Steadview Capital","$6,000,000",Debt,,,,,,,,,
402,Turnip,2020.0,Bangalore,Gaming,Turnip is a live game streaming and community platform.,"Aditya Sharma, Pooja Dubey",Elevation Capital,"$1,600,000",Seed,,,,,,,,,
404,Inficold,2015.0,New Delhi,Solar,Provide uninterrupted and affordable cooling for refrigeration,"Himanshu Pokharna, Nitin Goel",Shell Foundation,"$900,000",Pre-series A,,,,,,,,,
405,KIWI,2020.0,New Delhi,TaaS startup,"A peer to peer support network, which would enable billions of users across the world","Imran Ladiwala, Mishu Ahluwalia","PointOne Capital, Core91 VC","$250,000",Seed,,,,,,,,,
407,BharatPe,2018.0,New Delhi,FinTech,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"Ashneer Grover, Shashvat Nakrani","InnoVen Capital, Steadview Capital","$10,000,000",Debt,,,,,,,,,
409,Udayy,2019.0,Gurgaon,EdTech,Interactive learning platform for kids,"Saumya Yadav, Mahak Garg, Karan Varshney",Alpha Wave Incubation,"$2,500,000",Seed,,,,,,,,,
412,DeHaat,2012.0,Patna,AgriTech,DeHaat connects farmers to suppliers and buyers on a single platform.,"Shashank Kumar, Manish Kumar","Prosus Ventures, RTP Global","$30,000,000",Series C,,,,,,,,,
413,Samunnati,2014.0,Chennai,AgriTech,Samunnati is a specialized agriculture value chain enabler providing innovative and customized financial and non-financial solutions.,Anil Kumar,"U.S. International Development Finance Corp, responsAbility","$10,000,000",Debt,,,,,,,,,
414,Biconomy,2019.0,New Delhi,Blockchain startup,Biconomy is a technology company building transaction infrastructure for next-generation Web 3 applications.,"Ahmed Al-Balaghi, Aniket Jindal, Sachin Tomar","Binance Labs, Zee Prime Capital","$1,500,000",Seed,,,,,,,,,
416,Siply,2020.0,Bangalore,FinTech,Siply Services operates as a micro-savings platform.,Sousthav Chakrabarty,Inflection Point Ventures,"$1,000,000",Seed,,,,,,,,,
418,PurpleTutor,2019.0,Mumbai,EdTech,PurpleTutor is the only coding platform that mandates every teacher to have a formal Computer Science degree,"Gaurav Perti, Yatish Gupta",IvyCap Ventures,"$300,000",Seed,,,,,,,,,
419,Karkhana.io,2018.0,Mumbai,Manufacturing startup,Karkhana.io is an on-demand manufacturing platform with a vision of digitalizing manufacturing.,Sonam Motwani,Zone Startups In,"$1,500,000",Seed,,,,,,,,,
421,CoinSwitch Kuber,2017.0,Bangalore,Cryptocurrency,Coinswitch.co is a cryptocurrency exchange aggregator platform.,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Ribbit Capital, Kunal Shah","$15,000,000",Series A,,,,,,,,,
423,Infra.Market,2016.0,Thane,E-commerce,Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.,"Souvik Sengupta, Aaditya Sharda",InnoVen Capital,"$6,000,000",Debt,,,,,,,,,
424,ReadyAssist,2018.0,Bangalore,Vehicle repair startup,"ReadyAssist is one of the India's leading 24/7 roadside assistance, breakdown support, towing and repairs provider for both Bikes & Cars.",Vimal Singh SV,Satish Grampurohit,"$1,000,000",Seed,,,,,,,,,
428,Ergos,2012.0,Samsitpur,AgriTech,Ergos is building an integrated supply chain platform that enables farmers to convert their grains to digital assets.,"Kishor Kumar Jha, Praveen Kumar","CDC Group, Aavishkaar Venture Capital","$3,000,000",Series A,,,,,,,,,
430,Wright Research,2019.0,Mumbai,Advisory firm,Quantitative Investment Management and Research,Sonam Srivastava,"Ajat Hukkoo, Piyush Chaplot",Undisclosed,Pre-seed,,,,,,,,,
433,Toothsi,2018.0,Mumbai,Healthcare,ToothSi is a new age startup in the dental space providing smile correction services at home.,"Dr Arpi Mehta, Dr Pravin Shetty, Dr Manjul Jain, Dr Anirudh Kale",Think Investments,"$5,000,000",Series A,,,,,,,,,
434,Jumbotail,2015.0,Bangalore,Food and Beverages,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.","Ashish Jhina, Karthik Venkateswaran","Nexus Venture Partners, 23 High Networth Individuals (HNIs)","$14,300,000",Series B3,,,,,,,,,
435,Phi Commerce,2015.0,Pune,FinTech,"Payments Facilitator, Payments solution provider etc.","Anil Sharma, Jose Thattil, Rajesh Londhe, Tushar Shankar","Yatra Angel Network, BEENEXT","$4,000,000",Series A,,,,,,,,,
438,Finsall,2019.0,Bangalore,Insuretech,Finsall provides Insurance Premium Financing,"Prabal Khanna, Tim Mathews",Unicorn India Ventures,"$300,000",Seed,,,,,,,,,
440,Practically,2018.0,Telangana,EdTech,"Making Learning personal, immersive and experiental",Subbarao Siddabattula,Siana Capital,"$4,000,000",Pre-series B,,,,,,,,,
441,Cred,2018.0,Bangalore,FinTech,CRED is a Bengaluru-based fintech startup that offers rewards for customers who use its platform to pay their credit card bills.,Kunal Shah,"DST Global, General Catalyst","$81,000,000",Series C,,,,,,,,,
443,Zerone,2018.0,Gurgaon,FinTech,"Convert smartphones into a POS machine using our ZUP proximity payment technology, with no additional hardware and no need for NFC.",Jaijit Bhattacharya,Anthill Ventures,"$1,300,000",Pre-series A,,,,,,,,,
444,boAt,2016.0,Mumbai,Fashion & Lifestyle,boAt is a lifestyle brand that deals in fashionable consumer electronics.,"Aman Gupta, Sameer Mehta","InnoVen Capital, InnoVen Capita","$100,000,000",PE,,,,,,,,,
446,Kyt,2020.0,Bangalore,EdTech,"An online-first, global academy for extracurricular learning | Private & small group online classes for kids","Bhavik Rathod, Tripti Ahuja",Alpha Wave Incubation,"$5,000,000",Series A,,,,,,,,,
448,BharatPe,2018.0,New Delhi,FinTech,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"Ashneer Grover, Shashvat Nakrani","Steadview Capital, Insight Partners","$8,200,000",Debt,,,,,,,,,
449,CropIn,2010.0,Bangalore,AgriTech,CropIn is a leading AI and Data-led agri-tech organization that provides SaaS solutions to agribusinesses globally using deep learning.,Krishna Kumar,"Invested Development, Pratithi Investment Trust","$20,000,000",Series C,,,,,,,,,
450,Vanity Wagon,2018.0,Haryana,Cosmetics,"Vanity Wagon is India’s #1 Natural Organic Beauty Marketplace. Buy Ayurvedic Natural Beauty Products in India for skin, hair & body care.",Prateek Ruhail,"Dhianu Das, Agility Venture Partners","$200,000",Seed,,,,,,,,,
451,Oyo,2012.0,Gurgaon,Hospitality,OYO operates a branded network of hotels designed to offer standardized stay experiences.,Ritesh Agarwal,Hindustan Media Venture,"$7,000,000",Series F1,,,,,,,,,
452,Agri10x,2018.0,Pune,AgriTech,Agri10x integrates the entire Agri value-chain through a digital cooperative platform by harnessing emerging technologies,"Abhijith Naraparaju, Pankajj P. Ghode, Sundeep Bose",Omnivore,Undisclosed,Seed,,,,,,,,,
454,HobSpace,2019.0,Mumbai,EdTech,HobSpace is a platform for extra-curricular activities online and offline for kids between 3-14 years.,"Priya Goel Sheth, Harsh Jain","Siddharth Bhaskar Shah, Upsparks","$100,000",Pre-series A1,,,,,,,,,
457,KiranaKart,2020.0,Mumbai,E-commerce,A better model for instant grocery delivery in India.,"Kaivalya Vohra, Aadit Palicha",Global Founders Capital,"$720,000",Pre-seed,,,,,,,,,
458,Meddo,2018.0,Gurgaon,Healthcare,Meddo is an end-to-end medical services provider,Saurabh Kochhar,"growX ventures, Venture Gurukool","$3,000,000",Pre-series A,,,,,,,,,
459,SP Robotic Works,2012.0,Chennai,EdTech,An innovative place to explore next-generation technologies for students and all tech enthusiasts.,"Sneha Priya, Pranavan S",Mount Judi India Growth Fund,$3000000,Series A,,,,,,,,,
460,3SC,2018.0,Gurugram,Logistics,An end-to-end supply chain analytics company that provides execution and analytics solutions which are comprehensive and customized.,"Lalit, Sarita Das",GEF Capital’s South Asia Fund,$15000000,Series B,,,,,,,,,
462,Minimalist,2020.0,Jaipur,Cosmetics,Affordable skincare for all,"Mohit, Rahul Yadav",Sequoia Capital,$10000000,Series A,,,,,,,,,
466,90+ My Tuition App,2015.0,Bangalore,EdTech,Daskalos Virtual Academy Pvt Ltd is a company set up by a group of professionals who perform innovative work in management.,Vingish Vijay,Pearl Investment LLC,$5000000,Series A,,,,,,,,,
467,Wasabi,2021.0,Bangalore,Consulting,Help small businesses grow their sales via our customer interaction and growth platform.,"Pradeep Dodle, Nikhil Goenka","021 Capital, Sparrow Capital",$1800000,Seed,,,,,,,,,
468,Strata,2019.0,Bangalore,Real Estate,Strata is an innovative tech-driven platform redefining Fractional Investments in Premium Commercial Real Estate,"Sudarshan Lodha, Priyanka Rathore","Kotak Investment Advisors Limited, Gruhas Proptech",$6000000,Series A,,,,,,,,,
469,Ourbetterplanet,2020.0,Bangalore,E-commerce,A curated online marketplace for all things sustainable!,Pallavi Srivastava,VANS Group,$300000,Seed,,,,,,,,,
470,Murf.ai,2020.0,Bangalore,SaaS startup,"Murf AI is working on simplifying voice audio and making high-quality voice overs accessible to everyone, using artificial intelligence.","Sneha Roy, Ankur Edkie, Divyanshu Pandey",Elevation Capital,$1500000,Seed,,,,,,,,,
472,MYFITNESS,2019.0,Silvassa,Fitness,"A new age D2C health & fitness brand with a mission to deliver products that taste good, feel good and do good.","Mohammad Patel, Rahil Virani",9Unicorns,$1000000,Seed,,,,,,,,,
473,I am Love,2020.0,Mumbai,Healthcare,"I am Love came into existence in early 2020, with the aim of redefining the relationship we have with our health.",Shilpa Rathi,Xentel Investments,$4000000,Seed,,,,,,,,,
476,Eloelo,2015.0,Bangalore,Gaming,Creator-led Social Gaming & Live Streaming Platform,"Saurabh Pandey, Akshay Dubey","Waterbridge, Lumikai",$2000000,Pre-series A,,,,,,,,,
477,Edukemy,2020.0,Noida,EdTech,"Edukemy is the first EdTech company in the country, in the non –STEM segment, offering an immersive learning experience to the students, supported by cutting-edge technology and an AI-based evaluation system.",Chandrahas Panigrahi,"Auxano, Falcon5",$2000000,Pre-series A,,,,,,,,,
478,Zingbus,2019.0,Gurugram,Mobility,Zingbus is a renowned brand in the bus operating industry.,"Mratunjay, Prashant Kumar, Ravi Kumar Verma",Infoedge ventures,$5000000,Pre-series A,,,,,,,,,
479,NewsReach,2018.0,Ahmedabad,Media,NewsReach is a Mumbai based company that wants to create a disruptive ecosystem of original and local news content.,"Soniya Kundnani, Darshan Shah",JITO Angel Network,$300000,Seed,,,,,,,,,
480,Pencilton,2017.0,Hyderabad,FinTech,"India's first app for kids & teens to manage and spend pocket money while learning about money in a fun, gamified way.","VishwajitPureti, Ashish Singh, Pallavi Tipparaju, Viraj Gadde",Jupiter,$330000,Pre-seed,,,,,,,,,
483,The Whole Truth,2019.0,Mumbai,Food & Beverages,"Believe simple, homely ingredients, minimally processed, are the secret to nutritious, tasty food",Shashank Mehta,Sequoia Capital,$6000000,Series A,,,,,,,,,
484,Insane AI,2021.0,Bangalore,Fitness,Mainstream fitness formats are a primitive solution to the modern problems of a sedentary lifestyle.,"Anurag Mundhada, Jayesh Hannurkar, Sourabh Agrawal",pi Ventures,$800000,Seed,,,,,,,,,
485,Learn4o Technology,2020.0,Jaipur,E-learning,"Trying to solve the problem of unemployment in young graduates, who, despite having college degrees, don't have the skills for the real world.",Kamal Kant Gupta,IAN,$undisclosed,Seed,,,,,,,,,
488,Go Swift,2019.0,Bangalore,Consumer Services,Help small & medium sized businesses to grow by helping them with their shipping requirements at the cheapest and most reliable service.,"Shyam Kalita, Debanshu Sinha, Prayas Mittal",Kalaari Capital,$2000000,Pre-series A,,,,,,,,,
490,G.O.A.T,2021.0,Bangalore,D2C,G.O.A.T Brand Labs provides a tech-enabled platform for D2C brands to scale.,"Rishi Vasudev, Rameswar Misra","Tiger Global, Flipkart Ventures",$36000000,Series A,,,,,,,,,
491,Keeros,2017.0,Lucknow,Food & Beverages,"Keeros Roasted Supersnacks that are Healthy for All, Safe for Diabetics.","Sachin Sahni, Simran Sahni",Venture Catalysts,$undisclosed,Pre-series A,,,,,,,,,
492,ReDesyn,2016.0,Mumbai,Merchandise,"Merchandise drop-shipping platform for influencers, designers, creators & brands.","Smriti Dubey, Shikhar Vaidya",Anthill Ventures,$300000,Pre-series A,,,,,,,,,
494,Knorish,2016.0,Gurugram,EdTech,"Saas platform offers a feature packed platform enables businesses, experts, professionals, artists, instructors, specialists, coaches, people seeking work from home opportunities","Rakhi Wadhwa, Kinner N Sacchdev","Inflection Point Ventures, Rockstud Capital, Pentathlon Ventures, Prophetic Ventures syndicate",$1000000,Pre-series A,,,,,,,,,
495,Dozee,2015.0,Bangalore,Healthcare,"Dozee is India's only contactless health monitor that silently tracks your heart, respiration, sleep patterns, stress levels, cardiac contractions, apnea and more while you sleep.","Mudit Dandwate, Dandwate",Prime VP,$5000000,Series A,,,,,,,,,
496,BlackBuck,2015.0,Bangalore,Logistics & Supply Chain,BlackBuck marks the beginning of a new path in trucking. A path that is organized and makes trucking simple for every shipper and trucker.,"B Ramasubramanian, Chanakya Hridaya, Rajesh Yabaji","Tribe Capital, IFC Emerging Asia Fund, VEF",$67000000,Series E,,,,,,,,,
497,Mailmodo,2020.0,Bangalore,Marketing & Advertising,Mailmodo is a complete email marketing solution enabling users to create and send app-like interactive emails to improve email conversions.,"Aquibur Rahman, Apurv Gupta, Devyesh Tandon","Sequoia’s Surge, Y Combinator",$2000000,Seed,,,,,,,,,
498,SuperBeings,2019.0,Bangalore,Computer software,"Continuous Leadership Development & Employee Engagement platform. Improve Leadership, Culture and Experience real-time.","Yasharth Mishra, Gaurav Bhawnani, Kunal Mishra",Endiya Partners,$undisclosed,Seed,,,,,,,,,
499,NirogStreet,2018.0,New Delhi,Healthcare,Nirogstreet as a concept is working to make #Ayurveda first call of treatment.,Ram N Kumar,"Gokul Rajaram, Pureland Venture, Wavemaker Partners",$2500000,Series A,,,,,,,,,
500,Hyreo,2016.0,Thiruvananthapuram,Human Resources,Hyreo stands for delivering a ‘customer-like’ experience for candidates throughout the recruiting process.,"Arun Satyan, Mahesh Raju, Sreenath N",Callapina Capital,$undisclosed,Pre-series A,,,,,,,,,
502,Even,2020.0,Bangalore,Healthcare,One monthly subscription to cover all your healthcare needs.,"Mayank Banerjee, Matilde Giglio, Alessandro Davide Ialongo",Khosla Ventures,$5000000,Seed,,,,,,,,,
503,Captain Fresh,2019.0,Bangalore,Logistics,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,Utham Gowda,"Accel Partners, Matrix India",$12000000,Series A,,,,,,,,,
504,Otipy,2020.0,Gurugram,Food & Beverages,Otipy helps the farmer to deliver farm fresh vegetables & fruits at doorstep.,Varun Khurana,"Omidyar Network India, Innoven Capital",$10200000,Series A,,,,,,,,,
508,Edvizo,2017.0,Bangalore,Consumer Services,"Edvizo is an online marketplace to help students and parents find, compare and enroll in the best and trusted private institutes in their locality",Ravi Nishant,Inflection Point Ventures,$1000000,Pre-series A,,,,,,,,,
510,GlobalBees,2021.0,New Delhi,D2C Business,Globalbees partners with entrepreneurs who have built an online-first business.  Our team scales up D2C businesses in India and abroad.,Nitin Agarwal,"FirstCry, Lightspeed Venture Partners",$150000000,Series A,,,,,,,,,
511,Spinny,2015.0,Gurugram,Automotive,Spinny is a new age used car end-to-end platform in India.,"Niraj Singh, Mohit Gupta, Ramanshu Mahaur",Tiger Global,$108000000,Series D,,,,,,,,,
512,Mynvax,2017.0,Bangalore,Biotechnology,Mynvax is a pre-clinical stage vaccine biotechnology. Current develop programs include a recombinant vaccine for human influenza and COVID19.,"Dr Raghavan Varadarajan, Dr Gautham Nadig","Accel, LetsVenture, 1Crowd",$4000000,Series A,,,,,,,,,
514,Uvi Health,2020.0,Bangalore,Healthcare,Digital health platform delivering personalized care for women’s sexual and reproductive health concerns,Mehak Malik,Titan Capital,$330000,Pre-seed,,,,,,,,,
517,NFTically,2021.0,Gurugram,NFT Marketplace,"NFT Marketplace to buy or sell NFT tokens in minutes or set up your own NFT store, website, a storefront in minutes.",Toshendra Sharma,Jayanti Kanani,$undisclosed,Seed,,,,,,,,,
518,HealthifyMe,2012.0,Bangalore,Healthcare,HealthifyMe is a revolutionary health and fitness application that is on a mission to transform a billion lives!,"Tushar Vashisht, Sachin Shenoy","LeapFrog, Khosla Ventures",$75000000,Series C,,,,,,,,,
522,CareerNinja,2017.0,Mumbai,EdTech,"Careerninja Is A Funded, Early-stage Ed-tech Venture Building A Personalized Learning Platform To Help People Achieve Their Career Goals",Shronit Ladhaniai,Unitus Ventures,$undisclosed,Seed,,,,,,,,,
524,Sea6 Energy,2010.0,Bangalore,Biotechnology,"Sea6 Energy envisions a future where the abundant oceans will be our biomass farms of tomorrow - to provide solutions in energy, agriculture and food.","Sailaja Nori, Nelson Vadassery, Sowmya Balendiran, Shrikumar Suryanarayan",Aqua-Spark,$9000000,Series B,,,,,,,,,
525,Beco,2018.0,Mumbai,Consumer Goods,"Eco-friendly home and kitchen care products that are plastic-free, high in quality and affordable.","Aditya Ruia, Akshay Varma, Anuj Ruia",Climate Angels Fund,$500000,Seed,,,,,,,,,
527,MedPay,2020.0,Bangalore,Information Technology,MedPay® is building the real-time claims adjudication platform for health insurers.,"Arun Bhatia, Ravi Chandra","Entrepreneur First (EF), GrowX Ventures",$1200000,Seed,,,,,,,,,
529,Digantara,2018.0,Bangalore,SpaceTech,"Digantara is an Indian Space Technology Company incubated at Indian Institute of Science (IISc), establishing a space-based surveillance platform with global realtime earth coverage","Anirudh N Sharma, Rahul Rawat, Tanveer Ahmed",Kalaari Capital,$2500000,Seed,,,,,,,,,
530,Aqgromalin,2018.0,Chennai,AgriTech,Aqgormalin is a tech driven farm diversification platform enabling farmers to diversify into Animal Husbandry and Aquaculture.,"Prasanna Manogaran, Bharani CL",Zephyr Peacock,$700000,Seed,,,,,,,,,
534,NirogGyan,2019.0,Gurugram,Healthcare,"Simplifying Diagnostics for labs, doctors, and people.","Joyneel Acharya, Shweta Gandhi","Healthcare veterans, PIEDS",$undisclosed,Seed,,,,,,,,,
535,Ola Electric,2017.0,Bangalore,Automotive,Ola Electric - The future of mobility is here.? Charging ahead to accelerate the world’s transition to sustainable mobility.,Bhavish Aggarwal,Bank of Baroda,$100000000,Debt,,,,,,,,,
538,Little Leap,2020.0,New Delhi,EdTech,Soft Skills that make Smart Leaders,Holistic Development Programs for children in age range 5-15,Vishal Gupta,ah! Ventures,$300000,,,,,,,,,
539,Trell,2016.0,Bangalore,Social commerce,India's Largest Lifestyle Social Commerce platform. Empowering millions of storytellers & Micro-Entrepreneurs.,"Pulkit Agarwal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba","Mirae Asset, H&M",$45000000,Series B,,,,,,,,,
541,EasyAspataal,2020.0,Mumbai,Healthcare,India’s First Digital Admission Desk for Hospitalisation.,"Manoj Gupta, Gunjali Kothari",Venture Catalysts,$500000,Seed,,,,,,,,,
544,Arcana,2019.0,Bangalore,Information Technology,Arcana is the Storage Layer of Ethereum.,"Mayur Relekar, Aravindh Kumar, Abhishek Chaudhary",Balaji Srinivasan,$370000,Seed,,,,,,,,,
547,Aquaconnect,2017.0,Chennai,Fishery,Aquaconnect is a global full-stack aquaculture technology venture that provides data-driven farm advisory and marketplace solutions to fish and shrimp farmers,Rajamanohar,"Rebright Partners, Flourish Ventures",$4000000,Pre-series A,,,,,,,,,
549,LetsDressUp,2019.0,Gurugram,Apparel & Fashion,Building India's version of Stitch Fix,Aditya B,"Titan Capital, Sequoia Capital",$300000,Pre-series A,,,,,,,,,
551,BHyve,2020.0,Mumbai,Human Resources,A Future of Work Platform for diffusing Employee Tacit Knowledge and enabling Peer Learning Networks,Backed by 100x.VC,"Omkar Pandharkame, Ketaki Ogale","ITO Angel Network, LetsVenture",$300000,,,,,,,,,
552,Indi Energy,2019.0,Roorkee,Renewables & Environment,"Indi Energy is an energy storage startup involved in R&D of next generation battery technologies, with superior performance than current counterparts.",Dr. ASIT SAHOO,Mumbai Angels Network,$undisclosed,Seed,,,,,,,,,
555,Ati Motors,2017.0,Bangalore,Automotive,Autonomous industrial vehicle maker,"Saurabh Chandra, Saad Nasser","Blume Ventures, Exfinity Venture Partners",$35000000,Pre-series A,,,,,,,,,
556,peAR,2018.0,Mumbai,Deeptech,An AR / VR tech based Start-up in Mumbai.,"Dharmin Vora, Dhruvesh Mehta, Parth Vora",Inflection Point Ventures,$300000,Pre-series A1,,,,,,,,,
559,TyrePlex,2020.0,New Delhi,B2B E-commerce,Tyreplex is digitizing the tyre dealers in India.,"Puneet Bhaskar, Rupendra Pratap Singh",AdvantEdge Founders,$undisclosed,Seed,,,,,,,,,
562,FRAAZO,2020.0,Mumbai,Food & Beverages,FRAAZO is Mumbai's favourite App for Fresh Vegetables and Fruits coming straight from the Farm to your Doorstep within 18 Hours.,"Atul Kumar, Aashish Krishnatre","Sixth Sense Ventures, NABVENTURES",$11000000,Series A,,,,,,,,,
563,Licious,2015.0,Bangalore,Food & Beverages,"Licious is a consumer food company, focussed at delighting the world with an unmatched range of meat & meat products.","Abhay Hanjura, Vivek Gupta","Temasek, Multiples PE",$192000000,Series F,,,,,,,,,
564,WinZO,2018.0,New Delhi,Gaming,WinZO is the largest social gaming and entertainment platform in India.,Paavan Nanda,Griffin Gaming Partners,$65000000,Series C,,,,,,,,,
566,Skylark Drones,2014.0,Bangalore,Aviation,"Enterprise drone solutions that help plan, build, and sustain the world we live in.",Mughilan Thiru Ramasamy,"InfoEdge Ventures, IAN Fund",$3000000,Pre-series A,,,,,,,,,
567,Leegality,2016.0,Gurugram,IT company,"The market standard for eSign, eStamp and Document Workflow in India. Eliminating paper from paperwork since 2016",Shivam Singla,"IIFL, Mumbai Angels",$undisclosed,Pre-series A,,,,,,,,,
570,PeakPerformer,2020.0,Bangalore,EdTech,"A goal-oriented, outcome-driven platform to make leadership coaching accessible to all.","Aishwarya Goel, Gaurav Jhunjhnuwala",Antler India,$undisclosed,Early seed,,,,,,,,,
571,MyMobiForce,2018.0,Noida,Internet,"Crowdsourcing platform imparting best-in-class services with immensely talented, skilled & qualified workforce pan-India","Dheeraj Khatter, Himanshu Kumar, Kshitiz Saini",Bharat Inclusion,$1400000,Pre-series A,,,,,,,,,
575,Neverinstall,2019.0,Bangalore,Information Technology,A cloud platform to bring any GUI application regardless of OS and Device type to the browser.,"Lakshmana Pasala, Ram Pasala",Speciale Invest,$370000,Seed,,,,,,,,,
